broker_consultancy,Rent,Area,appartment_type,Deposit,Bathrooms,Facing,Address,Apartment Name,Status,Rent/sqfit,class
"Umesh Sahu
AGENT
-",60000,1500,2,No Deposit,2 bathrooms,,"Seawoods, Mumbai",Cidco NRI Complex,Unfurnished,40.0,class2
"Umesh Sahu
AGENT
-",150000,3500,5,No Deposit,5 bathrooms,,"Sanpada, Mumbai",Bhumiraj Hermitage,Semi-Furnished,42.857142857142854,class2
"Umesh Sahu
AGENT
-",55000,1300,2,No Deposit,2 bathrooms,,"Seawoods, Mumbai",L And T Seawoods Residences North Towers,Unfurnished,42.30769230769231,class2
"Sahara Properties
AGENT
-",57000,850,2,No Deposit,3 bathrooms,,"Jogeshwari West, Mumbai",Reputed Builder Royal Garden,Semi-Furnished,67.05882352941177,class1
"Sahara Properties
AGENT
-",225000,2500,4,No Deposit,5 bathrooms,,"Andheri West, Mumbai",Reputed Builder The Spring Fields,Furnished,90.0,class1
"Sahara Properties
AGENT
-",130000,1800,4,No Deposit,5 bathrooms,,"Andheri West, Mumbai",Evershine Cosmic,Semi-Furnished,72.22222222222223,class1
"Satguru Real Estate
AGENT
-",9000,789,2,No Deposit,2 bathrooms,,"Taloja, Mumbai",Arihant Anaika Phase II,Unfurnished,11.406844106463879,class3
"Aakansha Estate Consultancy
AGENT
-",250000,2125,3,No Deposit,4 bathrooms,,"Powai, Mumbai",Hiranandani Glen Dale,Semi-Furnished,117.6470588235294,class1
"DH Property
AGENT
-",57000,1275,2,No Deposit,2 bathrooms,,"Mulund West, Mumbai",Piramal Revanta Tower 1,Unfurnished,44.705882352941174,class2
"Holly Land Realty
AGENT
-",75000,900,2,No Deposit,2 bathrooms,,"Andheri West, Mumbai",,Furnished,83.33333333333333,class1
"Shree Swami Samarth Properties
AGENT
-",70000,900,2,No Deposit,2 bathrooms,,"Andheri West, Mumbai",,Furnished,77.77777777777777,class1
"Dedhia Realtors
AGENT
-",250000,1850,3,No Deposit,3 bathrooms,,"Juhu, Mumbai",,Furnished,135.13513513513513,class1
"S B Enterprises
AGENT
-",63000,1800,3,No Deposit,3 bathrooms,,"Seawoods, Mumbai",B And M Geetanjali Heights,Semi-Furnished,35.0,class2
"Surabhi Realtor
AGENT
-",18000,412,1,"70,000 deposit",1 bathrooms,,"Thane West, Mumbai",Lodha Quality Home,Unfurnished,43.689320388349515,class2
"Umesh Sahu
AGENT
-",65000,1300,2,3 L deposit,2 bathrooms,,"Seawoods, Mumbai",Juhi Greens,Furnished,50.0,class2
"Dedhia Realtors
AGENT
-",300000,3000,4,No Deposit,4 bathrooms,,"Juhu, Mumbai",,Furnished,100.0,class1
"Surabhi Realtor
AGENT
-",16000,520,1,No Deposit,1 bathrooms,,"Thane West, Mumbai",Reputed Builder Brahmand Phase 2,Unfurnished,30.76923076923077,class2
"Aaradhya Properties
AGENT
-",130000,2100,4,No Deposit,5 bathrooms,,"Andheri East, Mumbai",,Semi-Furnished,61.904761904761905,class1
"Aaradhya Properties
AGENT
-",200000,2800,4,No Deposit,5 bathrooms,,"Andheri East, Mumbai",,Semi-Furnished,71.42857142857143,class1
