iter	Passed	Remaining
406	5339	1220
407	5352	1206
408	5364	1193
409	5378	1180
410	5391	1167
411	5403	1154
412	5416	1141
413	5431	1128
414	5443	1114
415	5457	1102
416	5470	1088
417	5483	1075
418	5498	1063
419	5514	1050
420	5528	1037
421	5541	1024
422	5555	1011
423	5567	998
424	5582	985
425	5595	972
426	5607	958
427	5620	945
428	5633	932
429	5645	919
430	5668	907
431	5680	894
432	5694	881
433	5706	867
434	5719	854
435	5732	841
436	5743	828
437	5755	814
438	5766	801
439	5778	787
440	5791	774
441	5804	761
442	5817	748
443	5830	735
444	5843	722
445	5856	709
446	5868	695
447	5883	682
448	5895	669
449	5908	656
450	5922	643
451	5934	630
452	5947	617
453	5960	603
454	5973	590
455	5984	577
456	6000	564
457	6011	551
458	6022	537
459	6034	524
460	6046	511
461	6057	498
462	6068	484
463	6079	471
464	6090	458
465	6101	445
466	6112	431
467	6123	418
468	6135	405
469	6150	392
470	6162	379
471	6175	366
472	6187	353
473	6199	340
474	6211	326
475	6222	313
476	6235	300
477	6247	287
478	6259	274
479	6270	261
480	6283	248
481	6295	235
482	6307	222
483	6318	208
484	6330	195
485	6341	182
486	6353	169
487	6366	156
488	6378	143
489	6390	130
490	6402	117
491	6413	104
492	6425	91
493	6437	78
494	6449	65
495	6461	52
496	6473	39
497	6487	26
498	6499	13
499	6511	0
