rent,area,type,bathrooms,furnished_type,localityclass,city
30000,450,1,1,Unfurnished,class1,Mumbai
35000,700,1,2,Unfurnished,class2,Mumbai
14000,650,1,2,Semi-Furnished,class2,Mumbai
13000,810,2,2,Semi-Furnished,class2,Mumbai
35000,525,1,2,Semi-Furnished,class1,Mumbai
7500,690,1,1,Semi-Furnished,class3,Mumbai
11000,1200,2,2,Semi-Furnished,class3,Mumbai
9000,680,1,1,Semi-Furnished,class3,Mumbai
40000,150,1,1,Furnished,class1,Mumbai
60000,1157,2,2,Furnished,class1,Mumbai
45000,500,1,1,Unfurnished,class1,Mumbai
80000,800,2,2,Furnished,class1,Mumbai
55000,255,1,1,Furnished,class1,Mumbai
29000,1250,2,2,Semi-Furnished,class2,Mumbai
32000,1250,2,2,Furnished,class2,Mumbai
35000,575,1,2,Semi-Furnished,class1,Mumbai
75000,1100,2,2,Semi-Furnished,class1,Mumbai
55000,900,2,2,Unfurnished,class1,Mumbai
32000,1500,3,3,Unfurnished,class2,Mumbai
9000,765,1,1,Unfurnished,class3,Mumbai
7000,590,1,1,Unfurnished,class3,Mumbai
50000,850,2,2,Semi-Furnished,class1,Mumbai
79100,1000,2,2,Unfurnished,class1,Mumbai
90000,935,2,2,Unfurnished,class1,Mumbai
40000,650,1,1,Unfurnished,class1,Mumbai
75000,955,2,2,Furnished,class1,Mumbai
83000,1300,3,3,Unfurnished,class1,Mumbai
50000,900,2,2,Unfurnished,class1,Mumbai
9800,550,1,1,Unfurnished,class2,Mumbai
16000,1200,2,3,Semi-Furnished,class3,Mumbai
40000,850,2,2,Unfurnished,class2,Mumbai
30000,650,1,2,Unfurnished,class2,Mumbai
9500,550,1,1,Unfurnished,class2,Mumbai
13999,650,1,2,Unfurnished,class2,Mumbai
35000,950,3,2,Unfurnished,class2,Mumbai
21000,550,1,2,Semi-Furnished,class2,Mumbai
15000,1050,2,2,Semi-Furnished,class3,Mumbai
15000,1050,2,2,Semi-Furnished,class3,Mumbai
13000,900,2,1,Unfurnished,class3,Mumbai
10000,610,1,1,Unfurnished,class2,Mumbai
12000,900,2,1,Unfurnished,class3,Mumbai
60000,600,1,1,Furnished,class1,Mumbai
70000,850,1,2,Semi-Furnished,class1,Mumbai
17000,680,1,1,Furnished,class2,Mumbai
13000,800,2,2,Unfurnished,class2,Mumbai
13000,750,2,2,Unfurnished,class2,Mumbai
70000,650,1,2,Semi-Furnished,class1,Mumbai
80000,550,1,2,Furnished,class1,Mumbai
26000,690,1,2,Furnished,class2,Mumbai
45000,1250,3,2,Furnished,class2,Mumbai
27000,857,2,2,Semi-Furnished,class2,Mumbai
24000,650,1,2,Semi-Furnished,class2,Mumbai
21000,620,1,2,Semi-Furnished,class2,Mumbai
35000,620,1,2,Furnished,class1,Mumbai
31000,1050,2,3,Semi-Furnished,class2,Mumbai
19000,620,1,2,Unfurnished,class2,Mumbai
58000,1600,4,4,Semi-Furnished,class2,Mumbai
30000,1050,2,2,Unfurnished,class2,Mumbai
29000,1150,2,2,Furnished,class2,Mumbai
26000,1150,2,2,Unfurnished,class2,Mumbai
48000,2300,4,4,Furnished,class2,Mumbai
16500,650,1,2,Unfurnished,class2,Mumbai
40000,1050,2,2,Furnished,class2,Mumbai
37000,1050,2,2,Furnished,class2,Mumbai
20000,650,1,2,Semi-Furnished,class2,Mumbai
19500,610,1,2,Unfurnished,class2,Mumbai
19000,690,1,2,Unfurnished,class2,Mumbai
14999,679,1,1,Unfurnished,class2,Mumbai
29999,1150,2,2,Unfurnished,class2,Mumbai
21999,962,2,2,Unfurnished,class2,Mumbai
13999,646,1,1,Unfurnished,class2,Mumbai
27000,610,1,1,Furnished,class2,Mumbai
60000,920,2,2,Furnished,class1,Mumbai
65000,1200,2,2,Semi-Furnished,class1,Mumbai
75000,1200,2,2,Furnished,class1,Mumbai
80000,1350,3,3,Furnished,class1,Mumbai
70000,1200,2,2,Semi-Furnished,class1,Mumbai
50000,650,1,2,Semi-Furnished,class1,Mumbai
60000,920,2,2,Furnished,class1,Mumbai
22000,400,1,2,Unfurnished,class1,Mumbai
20000,400,1,2,Unfurnished,class2,Mumbai
28000,850,2,2,Unfurnished,class2,Mumbai
25000,567,1,1,Unfurnished,class2,Mumbai
34000,850,2,2,Furnished,class2,Mumbai
23000,850,2,2,Unfurnished,class2,Mumbai
18000,900,2,2,Unfurnished,class2,Mumbai
39000,620,1,2,Unfurnished,class1,Mumbai
60000,1012,2,2,Furnished,class1,Mumbai
60000,950,2,2,Semi-Furnished,class1,Mumbai
65000,1000,2,2,Furnished,class1,Mumbai
45000,1020,2,2,Unfurnished,class2,Mumbai
28000,1100,2,2,Semi-Furnished,class2,Mumbai
35000,750,2,2,Semi-Furnished,class2,Mumbai
28000,600,1,2,Semi-Furnished,class2,Mumbai
61000,820,2,2,Unfurnished,class1,Mumbai
85000,1500,3,3,Unfurnished,class1,Mumbai
40000,800,2,2,Semi-Furnished,class2,Mumbai
45000,900,2,2,Unfurnished,class2,Mumbai
30000,600,1,2,Semi-Furnished,class2,Mumbai
30000,1060,2,2,Furnished,class2,Mumbai
40000,1087,2,2,Unfurnished,class2,Mumbai
30000,1120,2,2,Unfurnished,class2,Mumbai
26000,950,2,2,Unfurnished,class2,Mumbai
12000,610,1,1,Semi-Furnished,class2,Mumbai
9500,774,2,2,Unfurnished,class3,Mumbai
30000,1200,2,2,Furnished,class2,Mumbai
22900,1000,2,2,Semi-Furnished,class2,Mumbai
14000,560,1,1,Semi-Furnished,class2,Mumbai
17000,650,1,1,Semi-Furnished,class2,Mumbai
23000,900,2,2,Unfurnished,class2,Mumbai
17000,600,1,2,Unfurnished,class2,Mumbai
13000,600,1,1,Unfurnished,class2,Mumbai
25000,850,2,2,Furnished,class2,Mumbai
15000,600,1,1,Semi-Furnished,class2,Mumbai
50000,726,1,1,Unfurnished,class1,Mumbai
55000,1050,2,2,Furnished,class1,Mumbai
32000,550,1,2,Semi-Furnished,class1,Mumbai
45000,900,2,2,Unfurnished,class2,Mumbai
45000,900,2,2,Unfurnished,class2,Mumbai
27000,650,1,2,Unfurnished,class2,Mumbai
27000,600,1,2,Semi-Furnished,class2,Mumbai
35000,850,1,2,Semi-Furnished,class2,Mumbai
45000,925,2,2,Unfurnished,class2,Mumbai
45000,900,2,2,Semi-Furnished,class2,Mumbai
30000,500,1,2,Semi-Furnished,class1,Mumbai
27000,650,1,2,Unfurnished,class2,Mumbai
27000,600,1,2,Semi-Furnished,class2,Mumbai
35000,850,1,2,Semi-Furnished,class2,Mumbai
45000,925,2,2,Unfurnished,class2,Mumbai
30000,600,1,2,Semi-Furnished,class2,Mumbai
55000,1050,2,2,Furnished,class1,Mumbai
32000,550,1,2,Semi-Furnished,class1,Mumbai
45000,900,2,2,Unfurnished,class2,Mumbai
45000,900,2,2,Unfurnished,class2,Mumbai
55000,720,2,2,Unfurnished,class1,Mumbai
35000,750,2,2,Unfurnished,class2,Mumbai
60000,1250,2,2,Semi-Furnished,class2,Mumbai
35000,1050,2,2,Unfurnished,class2,Mumbai
33000,1100,2,2,Semi-Furnished,class2,Mumbai
22000,1020,2,2,Unfurnished,class2,Mumbai
31500,1360,1,2,Unfurnished,class2,Mumbai
70000,900,2,2,Semi-Furnished,class1,Mumbai
85000,855,2,2,Semi-Furnished,class1,Mumbai
65000,800,2,2,Semi-Furnished,class1,Mumbai
65000,900,2,2,Semi-Furnished,class1,Mumbai
60000,700,2,2,Semi-Furnished,class1,Mumbai
60000,1100,2,2,Semi-Furnished,class1,Mumbai
12000,650,1,1,Semi-Furnished,class2,Mumbai
58000,755,2,2,Unfurnished,class1,Mumbai
50000,600,1,1,Semi-Furnished,class1,Mumbai
20000,700,1,2,Semi-Furnished,class2,Mumbai
50000,850,2,2,Furnished,class1,Mumbai
40000,1075,2,2,Furnished,class2,Mumbai
43000,1600,3,3,Semi-Furnished,class2,Mumbai
30000,700,2,2,Furnished,class2,Mumbai
55000,1080,2,2,Unfurnished,class1,Mumbai
70000,980,2,2,Unfurnished,class1,Mumbai
55000,900,2,2,Furnished,class1,Mumbai
59999,1250,2,2,Furnished,class2,Mumbai
12000,1200,2,2,Unfurnished,class3,Mumbai
11000,725,1,2,Unfurnished,class2,Mumbai
10000,730,1,2,Unfurnished,class3,Mumbai
8500,680,1,1,Unfurnished,class3,Mumbai
13000,735,1,1,Furnished,class2,Mumbai
36000,850,2,2,Semi-Furnished,class2,Mumbai
55000,1000,2,2,Furnished,class1,Mumbai
22000,310,1,1,Unfurnished,class1,Mumbai
40000,804,2,2,Furnished,class2,Mumbai
32000,800,2,2,Unfurnished,class2,Mumbai
22000,900,2,2,Semi-Furnished,class2,Mumbai
43000,850,2,2,Semi-Furnished,class1,Mumbai
14000,1100,2,2,Semi-Furnished,class3,Mumbai
85000,1100,3,3,Unfurnished,class1,Mumbai
70000,820,2,2,Unfurnished,class1,Mumbai
37000,520,1,1,Unfurnished,class1,Mumbai
49000,680,2,2,Unfurnished,class1,Mumbai
49500,680,2,2,Unfurnished,class1,Mumbai
37000,520,1,1,Unfurnished,class1,Mumbai
49000,680,2,2,Unfurnished,class1,Mumbai
71000,1010,3,3,Unfurnished,class1,Mumbai
70000,1010,3,3,Unfurnished,class1,Mumbai
30000,700,2,2,Furnished,class2,Mumbai
34000,550,1,2,Semi-Furnished,class1,Mumbai
15000,763,1,2,Semi-Furnished,class2,Mumbai
70000,980,2,2,Unfurnished,class1,Mumbai
75000,980,2,2,Semi-Furnished,class1,Mumbai
80000,1050,3,2,Semi-Furnished,class1,Mumbai
8500,375,1,1,Semi-Furnished,class2,Mumbai
7500,650,1,1,Unfurnished,class3,Mumbai
8500,850,2,2,Unfurnished,class3,Mumbai
9500,1098,2,2,Unfurnished,class3,Mumbai
13000,819,2,2,Semi-Furnished,class2,Mumbai
9000,594,1,1,Unfurnished,class2,Mumbai
10000,584,1,1,Unfurnished,class2,Mumbai
11000,918,2,2,Unfurnished,class3,Mumbai
29000,850,2,2,Unfurnished,class2,Mumbai
35000,850,2,2,Unfurnished,class2,Mumbai
18200,990,2,2,Unfurnished,class2,Mumbai
50000,1770,3,3,Semi-Furnished,class2,Mumbai
90000,800,1,1,Furnished,class1,Mumbai
80000,800,1,1,Furnished,class1,Mumbai
75000,800,1,1,Furnished,class1,Mumbai
85000,1200,2,2,Furnished,class1,Mumbai
75000,800,1,1,Furnished,class1,Mumbai
60000,1560,3,2,Semi-Furnished,class2,Mumbai
25000,1150,2,2,Unfurnished,class2,Mumbai
12500,625,1,2,Unfurnished,class2,Mumbai
25000,1050,2,2,Unfurnished,class2,Mumbai
12500,687,1,2,Unfurnished,class2,Mumbai
13500,660,1,2,Unfurnished,class2,Mumbai
28000,1135,2,2,Semi-Furnished,class2,Mumbai
15000,725,1,1,Unfurnished,class2,Mumbai
21000,660,1,1,Furnished,class2,Mumbai
30000,1050,2,2,Semi-Furnished,class2,Mumbai
35000,1145,2,2,Furnished,class2,Mumbai
70000,1250,3,2,Unfurnished,class1,Mumbai
9300,725,1,1,Semi-Furnished,class3,Mumbai
12000,1150,2,2,Furnished,class3,Mumbai
70000,1000,2,2,Furnished,class1,Mumbai
7500,700,1,2,Semi-Furnished,class3,Mumbai
36000,650,1,1,Semi-Furnished,class1,Mumbai
25000,550,1,1,Unfurnished,class2,Mumbai
41000,956,1,1,Semi-Furnished,class2,Mumbai
8000,774,1,1,Unfurnished,class3,Mumbai
10500,1085,2,2,Unfurnished,class3,Mumbai
13500,918,2,2,Unfurnished,class3,Mumbai
12000,610,1,1,Semi-Furnished,class2,Mumbai
64000,900,2,2,Unfurnished,class1,Mumbai
70000,950,2,2,Furnished,class1,Mumbai
8500,650,1,1,Unfurnished,class3,Mumbai
18000,590,1,1,Unfurnished,class2,Mumbai
40000,900,2,2,Furnished,class2,Mumbai
40000,950,2,2,Semi-Furnished,class2,Mumbai
42000,950,2,2,Semi-Furnished,class2,Mumbai
37000,1150,2,2,Semi-Furnished,class2,Mumbai
45000,950,2,2,Furnished,class2,Mumbai
28000,650,1,2,Furnished,class2,Mumbai
70000,1100,3,3,Furnished,class1,Mumbai
32500,700,2,2,Unfurnished,class2,Mumbai
65000,1050,2,2,Unfurnished,class1,Mumbai
40000,900,2,2,Furnished,class2,Mumbai
25000,600,1,2,Semi-Furnished,class2,Mumbai
40000,950,2,2,Furnished,class2,Mumbai
15000,721,1,1,Semi-Furnished,class2,Mumbai
13000,710,1,1,Semi-Furnished,class2,Mumbai
11000,575,1,1,Semi-Furnished,class2,Mumbai
21000,1150,2,2,Semi-Furnished,class2,Mumbai
46000,1000,2,2,Semi-Furnished,class2,Mumbai
27000,425,1,2,Unfurnished,class1,Mumbai
40000,950,2,2,Furnished,class2,Mumbai
60000,1300,3,3,Semi-Furnished,class2,Mumbai
33000,950,2,2,Semi-Furnished,class2,Mumbai
45000,800,2,1,Unfurnished,class1,Mumbai
65000,1000,3,3,Furnished,class1,Mumbai
55000,1300,3,3,Semi-Furnished,class2,Mumbai
40000,750,2,1,Semi-Furnished,class1,Mumbai
28000,750,2,2,Semi-Furnished,class2,Mumbai
30000,750,2,2,Furnished,class2,Mumbai
36000,950,3,2,Semi-Furnished,class2,Mumbai
26000,950,2,2,Semi-Furnished,class2,Mumbai
30000,530,1,1,Semi-Furnished,class1,Mumbai
60000,1200,3,2,Semi-Furnished,class2,Mumbai
46000,1000,2,2,Semi-Furnished,class2,Mumbai
40000,950,2,2,Furnished,class2,Mumbai
60000,1300,3,3,Semi-Furnished,class2,Mumbai
33000,950,2,2,Semi-Furnished,class2,Mumbai
45000,800,2,1,Unfurnished,class1,Mumbai
65000,1000,3,3,Furnished,class1,Mumbai
55000,1300,3,3,Semi-Furnished,class2,Mumbai
40000,750,2,1,Semi-Furnished,class1,Mumbai
28000,750,2,2,Semi-Furnished,class2,Mumbai
30000,750,2,2,Furnished,class2,Mumbai
36000,950,3,2,Semi-Furnished,class2,Mumbai
40000,850,2,2,Semi-Furnished,class2,Mumbai
25000,500,1,1,Semi-Furnished,class2,Mumbai
40000,750,2,2,Unfurnished,class1,Mumbai
25000,550,1,1,Semi-Furnished,class2,Mumbai
22000,600,1,2,Semi-Furnished,class2,Mumbai
35000,800,2,2,Semi-Furnished,class2,Mumbai
30000,500,1,1,Semi-Furnished,class1,Mumbai
40000,850,2,2,Unfurnished,class2,Mumbai
60000,1650,3,2,Semi-Furnished,class2,Mumbai
46000,1000,2,2,Semi-Furnished,class2,Mumbai
30000,530,1,1,Semi-Furnished,class1,Mumbai
60000,1200,3,2,Semi-Furnished,class2,Mumbai
27000,425,1,2,Unfurnished,class1,Mumbai
25000,600,1,2,Semi-Furnished,class2,Mumbai
16000,711,1,2,Semi-Furnished,class2,Mumbai
40000,745,1,2,Semi-Furnished,class1,Mumbai
40000,750,1,2,Semi-Furnished,class1,Mumbai
45000,750,1,2,Furnished,class1,Mumbai
25000,500,1,2,Unfurnished,class2,Mumbai
18000,905,2,2,Semi-Furnished,class2,Mumbai
15000,680,1,1,Semi-Furnished,class2,Mumbai
55000,885,2,2,Semi-Furnished,class1,Mumbai
80000,1300,3,3,Semi-Furnished,class1,Mumbai
13000,711,1,2,Semi-Furnished,class2,Mumbai
46000,1000,2,2,Semi-Furnished,class2,Mumbai
70000,750,1,1,Furnished,class1,Mumbai
11000,650,1,1,Furnished,class2,Mumbai
24000,1000,2,2,Unfurnished,class2,Mumbai
11000,650,1,1,Unfurnished,class2,Mumbai
15000,750,1,2,Semi-Furnished,class2,Mumbai
30000,550,1,1,Unfurnished,class1,Mumbai
17500,422,1,2,Unfurnished,class2,Mumbai
18000,421,1,2,Unfurnished,class2,Mumbai
17500,400,1,2,Unfurnished,class2,Mumbai
75000,1150,2,2,Semi-Furnished,class1,Mumbai
12000,625,1,1,Semi-Furnished,class2,Mumbai
13000,650,1,1,Semi-Furnished,class2,Mumbai
13000,650,1,1,Semi-Furnished,class2,Mumbai
67000,1050,2,2,Semi-Furnished,class1,Mumbai
15000,650,1,1,Semi-Furnished,class2,Mumbai
27000,415,1,2,Unfurnished,class1,Mumbai
27000,690,2,2,Semi-Furnished,class2,Mumbai
27000,690,2,2,Semi-Furnished,class2,Mumbai
27000,690,2,2,Semi-Furnished,class2,Mumbai
27000,690,2,2,Semi-Furnished,class2,Mumbai
27000,690,2,2,Semi-Furnished,class2,Mumbai
27000,690,2,2,Semi-Furnished,class2,Mumbai
75000,1050,2,2,Semi-Furnished,class1,Mumbai
65000,650,1,1,Furnished,class1,Mumbai
75000,1000,2,2,Semi-Furnished,class1,Mumbai
56000,950,2,2,Unfurnished,class1,Mumbai
48000,1035,2,2,Semi-Furnished,class2,Mumbai
43000,980,2,2,Semi-Furnished,class2,Mumbai
31000,600,1,1,Semi-Furnished,class1,Mumbai
68000,1200,2,2,Semi-Furnished,class1,Mumbai
25000,950,2,2,Semi-Furnished,class2,Mumbai
25000,950,2,2,Semi-Furnished,class2,Mumbai
23000,1200,2,2,Unfurnished,class2,Mumbai
20000,1165,2,2,Unfurnished,class2,Mumbai
25000,1107,2,2,Unfurnished,class2,Mumbai
28000,1200,2,2,Semi-Furnished,class2,Mumbai
52000,1500,3,2,Unfurnished,class2,Mumbai
55000,1100,2,2,Furnished,class2,Mumbai
74500,870,2,2,Semi-Furnished,class1,Mumbai
45000,1000,2,2,Furnished,class2,Mumbai
50000,1000,2,2,Furnished,class2,Mumbai
43000,750,2,2,Semi-Furnished,class1,Mumbai
45000,750,2,2,Unfurnished,class1,Mumbai
70000,850,2,2,Furnished,class1,Mumbai
45000,800,2,2,Semi-Furnished,class1,Mumbai
35000,1700,3,3,Unfurnished,class2,Mumbai
37000,1100,3,2,Semi-Furnished,class2,Mumbai
22000,1585,3,2,Unfurnished,class3,Mumbai
42000,1500,3,3,Unfurnished,class2,Mumbai
42000,1500,3,3,Unfurnished,class2,Mumbai
55000,1900,3,3,Semi-Furnished,class2,Mumbai
19000,1180,2,2,Furnished,class2,Mumbai
12500,1120,2,2,Unfurnished,class3,Mumbai
11000,650,1,1,Unfurnished,class2,Mumbai
52000,1000,2,2,Furnished,class1,Mumbai
31000,1200,3,3,Semi-Furnished,class2,Mumbai
11000,650,1,1,Semi-Furnished,class2,Mumbai
34000,1200,3,3,Furnished,class2,Mumbai
12000,650,1,1,Semi-Furnished,class2,Mumbai
15000,610,1,2,Furnished,class2,Mumbai
16000,950,2,3,Unfurnished,class2,Mumbai
45000,1000,2,2,Unfurnished,class2,Mumbai
85000,1400,3,3,Semi-Furnished,class1,Mumbai
65000,1500,3,3,Unfurnished,class2,Mumbai
35000,700,2,1,Unfurnished,class2,Mumbai
59000,1200,2,2,Furnished,class2,Mumbai
36000,700,1,2,Unfurnished,class1,Mumbai
75000,1000,2,2,Semi-Furnished,class1,Mumbai
85000,1000,2,2,Furnished,class1,Mumbai
49000,700,1,1,Furnished,class1,Mumbai
70000,1000,2,2,Furnished,class1,Mumbai
85000,1400,2,2,Furnished,class1,Mumbai
70000,1100,2,2,Furnished,class1,Mumbai
70000,1050,2,2,Furnished,class1,Mumbai
32000,600,1,2,Unfurnished,class1,Mumbai
33000,650,1,2,Unfurnished,class1,Mumbai
74000,1200,2,2,Unfurnished,class1,Mumbai
35000,600,1,2,Semi-Furnished,class1,Mumbai
30000,650,1,1,Unfurnished,class2,Mumbai
44500,1550,3,3,Semi-Furnished,class2,Mumbai
42000,1100,2,2,Unfurnished,class2,Mumbai
55000,1100,2,2,Unfurnished,class2,Mumbai
50000,1100,2,2,Unfurnished,class2,Mumbai
27000,500,1,1,Unfurnished,class1,Mumbai
55000,1100,2,2,Unfurnished,class2,Mumbai
65000,1200,2,2,Unfurnished,class1,Mumbai
74000,1200,2,2,Unfurnished,class1,Mumbai
48000,1100,2,3,Unfurnished,class2,Mumbai
45000,930,2,2,Semi-Furnished,class2,Mumbai
53000,1100,2,2,Semi-Furnished,class2,Mumbai
65000,1200,2,2,Unfurnished,class1,Mumbai
50000,1300,3,3,Semi-Furnished,class2,Mumbai
22000,650,1,1,Semi-Furnished,class2,Mumbai
35000,800,2,2,Semi-Furnished,class2,Mumbai
60000,1300,3,2,Semi-Furnished,class2,Mumbai
28000,600,1,1,Furnished,class2,Mumbai
80000,1350,3,3,Semi-Furnished,class1,Mumbai
37600,800,2,2,Unfurnished,class2,Mumbai
55000,1100,3,2,Semi-Furnished,class2,Mumbai
42000,850,2,2,Unfurnished,class2,Mumbai
45000,950,2,2,Unfurnished,class2,Mumbai
35000,900,2,2,Furnished,class2,Mumbai
27000,470,1,1,Furnished,class1,Mumbai
28000,550,1,1,Furnished,class1,Mumbai
23000,550,1,1,Furnished,class2,Mumbai
28000,600,1,1,Unfurnished,class2,Mumbai
45000,900,3,2,Unfurnished,class2,Mumbai
40000,900,2,2,Furnished,class2,Mumbai
25000,650,1,1,Unfurnished,class2,Mumbai
65000,1800,3,2,Unfurnished,class2,Mumbai
30000,750,1,1,Semi-Furnished,class2,Mumbai
28000,600,1,1,Furnished,class2,Mumbai
25000,500,1,1,Semi-Furnished,class2,Mumbai
40000,700,2,2,Unfurnished,class1,Mumbai
38000,800,2,2,Unfurnished,class2,Mumbai
75000,1300,2,3,Unfurnished,class1,Mumbai
38000,700,2,2,Unfurnished,class1,Mumbai
30000,600,1,1,Semi-Furnished,class2,Mumbai
23000,450,1,1,Semi-Furnished,class1,Mumbai
65000,1200,3,2,Semi-Furnished,class1,Mumbai
46000,975,2,2,Unfurnished,class2,Mumbai
54000,1285,2,2,Furnished,class2,Mumbai
52000,900,2,2,Unfurnished,class1,Mumbai
47000,1200,2,2,Unfurnished,class2,Mumbai
60000,1200,2,2,Semi-Furnished,class2,Mumbai
35000,600,1,2,Unfurnished,class1,Mumbai
30000,700,1,1,Unfurnished,class2,Mumbai
38000,1050,2,2,Furnished,class2,Mumbai
20000,715,1,1,Semi-Furnished,class2,Mumbai
45000,700,2,2,Unfurnished,class1,Mumbai
53000,1250,3,3,Furnished,class2,Mumbai
33000,1020,2,2,Semi-Furnished,class2,Mumbai
49000,1250,3,3,Furnished,class2,Mumbai
85000,1580,3,3,Semi-Furnished,class1,Mumbai
41000,700,1,2,Unfurnished,class1,Mumbai
11000,800,2,2,Unfurnished,class3,Mumbai
40000,995,2,2,Unfurnished,class2,Mumbai
30000,575,1,2,Semi-Furnished,class1,Mumbai
45000,680,2,2,Semi-Furnished,class1,Mumbai
48000,900,2,2,Unfurnished,class1,Mumbai
50000,980,2,2,Unfurnished,class1,Mumbai
35000,745,2,2,Unfurnished,class2,Mumbai
50000,1245,3,2,Semi-Furnished,class2,Mumbai
32000,540,1,2,Furnished,class1,Mumbai
40000,700,1,2,Unfurnished,class1,Mumbai
38000,650,2,2,Furnished,class1,Mumbai
30000,525,1,2,Unfurnished,class1,Mumbai
35000,660,2,2,Unfurnished,class1,Mumbai
28000,510,1,2,Unfurnished,class1,Mumbai
40000,800,2,2,Semi-Furnished,class2,Mumbai
18000,421,1,1,Unfurnished,class2,Mumbai
30000,525,1,2,Semi-Furnished,class1,Mumbai
38000,656,1,2,Unfurnished,class1,Mumbai
90000,1470,3,3,Semi-Furnished,class1,Mumbai
58000,1400,3,3,Semi-Furnished,class2,Mumbai
75000,1200,2,2,Unfurnished,class1,Mumbai
25000,710,1,2,Semi-Furnished,class2,Mumbai
25000,710,1,2,Semi-Furnished,class2,Mumbai
31000,1100,2,2,Semi-Furnished,class2,Mumbai
23000,1106,1,2,Semi-Furnished,class2,Mumbai
23000,1106,1,2,Semi-Furnished,class2,Mumbai
75000,1810,3,3,Unfurnished,class2,Mumbai
35000,650,2,2,Unfurnished,class1,Mumbai
49000,625,1,2,Semi-Furnished,class1,Mumbai
12000,405,1,1,Semi-Furnished,class2,Mumbai
60000,1250,2,2,Furnished,class2,Mumbai
27000,425,1,1,Unfurnished,class1,Mumbai
17000,650,1,1,Unfurnished,class2,Mumbai
23500,510,1,2,Unfurnished,class2,Mumbai
50000,1100,2,1,Furnished,class2,Mumbai
20000,600,1,2,Semi-Furnished,class2,Mumbai
40000,1160,2,2,Semi-Furnished,class2,Mumbai
65000,1700,3,3,Semi-Furnished,class2,Mumbai
70000,1650,3,3,Semi-Furnished,class2,Mumbai
40000,1200,2,2,Semi-Furnished,class2,Mumbai
35000,1050,2,2,Furnished,class2,Mumbai
70000,1000,3,3,Semi-Furnished,class1,Mumbai
35000,450,1,2,Semi-Furnished,class1,Mumbai
72000,900,2,2,Semi-Furnished,class1,Mumbai
45000,600,1,1,Semi-Furnished,class1,Mumbai
75000,900,2,2,Semi-Furnished,class1,Mumbai
87000,1370,3,3,Semi-Furnished,class1,Mumbai
87000,1370,3,3,Semi-Furnished,class1,Mumbai
90000,1170,3,2,Semi-Furnished,class1,Mumbai
40000,1100,2,2,Furnished,class2,Mumbai
60000,1050,2,2,Furnished,class1,Mumbai
70000,1000,2,2,Semi-Furnished,class1,Mumbai
90000,1020,3,3,Semi-Furnished,class1,Mumbai
80000,1000,2,2,Semi-Furnished,class1,Mumbai
45000,1050,2,2,Semi-Furnished,class2,Mumbai
15000,1220,2,2,Unfurnished,class3,Mumbai
25000,422,1,1,Furnished,class1,Mumbai
70000,1050,2,2,Semi-Furnished,class1,Mumbai
85000,1100,2,2,Semi-Furnished,class1,Mumbai
56000,750,1,2,Semi-Furnished,class1,Mumbai
90000,1100,2,2,Furnished,class1,Mumbai
55000,750,1,2,Semi-Furnished,class1,Mumbai
65000,1059,2,2,Semi-Furnished,class1,Mumbai
43000,800,1,2,Semi-Furnished,class1,Mumbai
70000,1000,2,2,Semi-Furnished,class1,Mumbai
85000,1150,2,2,Semi-Furnished,class1,Mumbai
68000,600,1,2,Furnished,class1,Mumbai
60000,600,1,2,Semi-Furnished,class1,Mumbai
80000,1300,2,2,Unfurnished,class1,Mumbai
75000,1100,3,2,Unfurnished,class1,Mumbai
65000,1100,2,2,Unfurnished,class1,Mumbai
70000,1100,3,2,Semi-Furnished,class1,Mumbai
70000,1100,2,2,Semi-Furnished,class1,Mumbai
90000,1000,2,2,Furnished,class1,Mumbai
45000,750,1,2,Furnished,class1,Mumbai
85000,1250,2,2,Semi-Furnished,class1,Mumbai
80000,1000,2,2,Semi-Furnished,class1,Mumbai
75000,1100,2,2,Furnished,class1,Mumbai
63000,1250,2,2,Semi-Furnished,class1,Mumbai
60000,1050,2,2,Unfurnished,class1,Mumbai
60000,1248,2,2,Semi-Furnished,class2,Mumbai
33000,734,1,2,Semi-Furnished,class2,Mumbai
34000,700,1,2,Semi-Furnished,class2,Mumbai
65000,1384,3,3,Semi-Furnished,class2,Mumbai
45000,1139,2,2,Semi-Furnished,class2,Mumbai
70000,1600,3,3,Furnished,class2,Mumbai
35000,764,1,2,Semi-Furnished,class2,Mumbai
44000,1100,2,2,Semi-Furnished,class2,Mumbai
44000,1228,2,2,Semi-Furnished,class2,Mumbai
43000,1196,2,2,Semi-Furnished,class2,Mumbai
40000,738,1,2,Furnished,class1,Mumbai
43000,1100,2,2,Semi-Furnished,class2,Mumbai
42000,1138,2,2,Semi-Furnished,class2,Mumbai
35000,735,1,2,Semi-Furnished,class2,Mumbai
35000,734,1,2,Semi-Furnished,class2,Mumbai
43000,1137,2,2,Semi-Furnished,class2,Mumbai
44000,1228,2,2,Semi-Furnished,class2,Mumbai
33500,735,1,2,Semi-Furnished,class2,Mumbai
60000,1246,2,2,Semi-Furnished,class2,Mumbai
40000,1236,1,2,Furnished,class2,Mumbai
45000,736,1,2,Furnished,class1,Mumbai
62000,600,1,2,Semi-Furnished,class1,Mumbai
65000,1437,3,3,Semi-Furnished,class2,Mumbai
50000,1000,2,2,Semi-Furnished,class2,Mumbai
80000,1250,2,2,Semi-Furnished,class1,Mumbai
75000,1800,3,3,Semi-Furnished,class2,Mumbai
40000,600,1,2,Furnished,class1,Mumbai
