rent,area,type,bathrooms,furnished_type,localityclass,city
22000,535,1,1,Semi-Furnished,class2,Mumbai
75000,600,1,2,Semi-Furnished,class1,Mumbai
12000,650,1,2,Unfurnished,class2,Mumbai
42000,864,2,2,Semi-Furnished,class2,Mumbai
22000,617,1,1,Unfurnished,class2,Mumbai
75000,600,1,2,Semi-Furnished,class1,Mumbai
40000,555,1,2,Semi-Furnished,class1,Mumbai
36000,1145,2,2,Furnished,class2,Mumbai
36000,1150,2,2,Semi-Furnished,class2,Mumbai
37000,950,2,2,Semi-Furnished,class2,Mumbai
40000,1150,2,2,Semi-Furnished,class2,Mumbai
55000,1700,3,3,Semi-Furnished,class2,Mumbai
28000,680,2,2,Furnished,class2,Mumbai
85000,1150,2,2,Furnished,class1,Mumbai
55000,950,2,2,Semi-Furnished,class1,Mumbai
40000,550,1,2,Semi-Furnished,class1,Mumbai
60000,1100,2,2,Semi-Furnished,class1,Mumbai
58000,1200,2,2,Unfurnished,class2,Mumbai
32000,845,2,2,Unfurnished,class2,Mumbai
48000,1070,3,2,Furnished,class2,Mumbai
7500,465,1,1,Unfurnished,class2,Mumbai
55000,1300,2,2,Unfurnished,class2,Mumbai
57000,850,2,3,Semi-Furnished,class1,Mumbai
9000,789,2,2,Unfurnished,class3,Mumbai
57000,1275,2,2,Unfurnished,class2,Mumbai
75000,900,2,2,Furnished,class1,Mumbai
70000,900,2,2,Furnished,class1,Mumbai
52000,850,2,2,Furnished,class1,Mumbai
36000,1145,2,2,Furnished,class2,Mumbai
36000,1150,2,2,Semi-Furnished,class2,Mumbai
42000,1200,2,2,Furnished,class2,Mumbai
55000,1300,2,2,Unfurnished,class2,Mumbai
38000,1140,2,2,Semi-Furnished,class2,Mumbai
21000,520,1,2,Furnished,class2,Mumbai
16000,1100,2,2,Semi-Furnished,class3,Mumbai
30000,1300,3,3,Semi-Furnished,class2,Mumbai
74000,1200,2,2,Unfurnished,class1,Mumbai
33000,610,1,2,Semi-Furnished,class1,Mumbai
13000,700,2,1,Semi-Furnished,class2,Mumbai
16000,690,1,1,Furnished,class2,Mumbai
13000,700,1,2,Unfurnished,class2,Mumbai
18000,1060,2,2,Semi-Furnished,class2,Mumbai
36000,650,1,2,Furnished,class1,Mumbai
45000,874,2,2,Unfurnished,class1,Mumbai
45000,1000,2,2,Semi-Furnished,class2,Mumbai
16000,225,1,1,Unfurnished,class1,Mumbai
16000,1100,2,2,Semi-Furnished,class3,Mumbai
30000,1300,3,3,Semi-Furnished,class2,Mumbai
13000,700,2,1,Semi-Furnished,class2,Mumbai
16000,690,1,1,Furnished,class2,Mumbai
9000,541,1,1,Unfurnished,class2,Mumbai
50000,1070,2,2,Furnished,class2,Mumbai
48000,1070,3,2,Furnished,class2,Mumbai
29000,930,2,2,Semi-Furnished,class2,Mumbai
7500,465,1,1,Unfurnished,class2,Mumbai
16000,520,1,1,Unfurnished,class2,Mumbai
55000,875,2,3,Furnished,class1,Mumbai
42000,1200,2,2,Furnished,class2,Mumbai
30000,350,1,1,Unfurnished,class1,Mumbai
21000,767,2,2,Unfurnished,class2,Mumbai
33000,610,1,2,Semi-Furnished,class1,Mumbai
75000,1200,2,2,Unfurnished,class1,Mumbai
36000,650,1,2,Furnished,class1,Mumbai
33000,600,1,2,Unfurnished,class1,Mumbai
43000,950,2,2,Unfurnished,class2,Mumbai
29000,510,1,2,Unfurnished,class1,Mumbai
32000,600,1,2,Unfurnished,class1,Mumbai
38000,850,2,2,Unfurnished,class2,Mumbai
37000,850,2,2,Unfurnished,class2,Mumbai
38000,850,2,2,Unfurnished,class2,Mumbai
42500,950,2,2,Unfurnished,class2,Mumbai
32000,600,1,2,Unfurnished,class1,Mumbai
45000,950,2,2,Unfurnished,class2,Mumbai
38000,1140,2,2,Semi-Furnished,class2,Mumbai
21000,520,1,2,Furnished,class2,Mumbai
55000,1050,3,3,Unfurnished,class1,Mumbai
68000,1300,3,3,Unfurnished,class1,Mumbai
65000,1300,3,3,Unfurnished,class2,Mumbai
45000,874,2,2,Unfurnished,class1,Mumbai
13000,700,1,2,Unfurnished,class2,Mumbai
18000,1060,2,2,Semi-Furnished,class2,Mumbai
33000,600,1,2,Unfurnished,class1,Mumbai
43500,950,2,2,Unfurnished,class2,Mumbai
58000,1050,3,3,Unfurnished,class1,Mumbai
74000,1200,2,2,Unfurnished,class1,Mumbai
35000,1050,2,2,Furnished,class2,Mumbai
39000,1130,2,2,Furnished,class2,Mumbai
60000,1500,2,2,Unfurnished,class2,Mumbai
55000,1300,2,2,Unfurnished,class2,Mumbai
57000,850,2,3,Semi-Furnished,class1,Mumbai
9000,789,2,2,Unfurnished,class3,Mumbai
57000,1275,2,2,Unfurnished,class2,Mumbai
75000,900,2,2,Furnished,class1,Mumbai
70000,900,2,2,Furnished,class1,Mumbai
